OID_,latitude,longitude,location,speed_mph,name,timestamp
6015,43.02641295,-76.17486543,"2039 South Geddes Street, Syracuse, NY, 13207",4,SW 2,2/5/2022 13:23:52
6016,43.01597824,-76.16001687,"312 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:23:53
6017,43.03082053,-76.15883187,"Marginal Street, Syracuse, NY, 13207",3,SW 3,2/5/2022 13:23:55
6018,43.015951,-76.15999072,"312 Valley Drive, Syracuse, NY, 13207",1,SW 1,2/5/2022 13:23:58
6019,43.03089667,-76.1588421,"Marginal Street, Syracuse, NY, 13207",5,SW 3,2/5/2022 13:24:00
6020,43.06294637,-76.15488966,"202 Isabella Street, Syracuse, NY, 13208",5,SW 5,2/5/2022 13:24:04
6021,43.01599228,-76.16002468,"312 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:24:04
6022,43.02613014,-76.17484899,"2043 South Geddes Street, Syracuse, NY, 13207",4,SW 2,2/5/2022 13:24:11
6023,43.01596504,-76.16000149,"312 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:24:12
6024,43.03117512,-76.15885163,"716 South Avenue, Syracuse, NY, 13207",2,SW 3,2/5/2022 13:24:12
6025,43.06270678,-76.15466817,"850 North Salina Street, Syracuse, NY, 13208",7,SW 5,2/5/2022 13:24:14
6026,43.02600194,-76.17484206,"2043 South Geddes Street, Syracuse, NY, 13207",4,SW 2,2/5/2022 13:24:17
6027,43.01600362,-76.16003095,"312 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:24:18
6028,43.0624529,-76.15447045,"812 North Salina Street, Syracuse, NY, 13208",10,SW 5,2/5/2022 13:24:22
6029,43.03144796,-76.15886921,"708 South Avenue, Syracuse, NY, 13207",6,SW 3,2/5/2022 13:24:24
6030,43.01596658,-76.16000642,"312 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:24:25
6031,43.02585608,-76.17482477,"2043 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:24:26
6032,43.06217968,-76.15427955,"808 North Salina Street, Syracuse, NY, 13208",8,SW 5,2/5/2022 13:24:29
6033,43.01602067,-76.16003299,"312 Valley Drive, Syracuse, NY, 13207",1,SW 1,2/5/2022 13:24:30
6034,43.03172783,-76.15887368,"700 South Avenue, Syracuse, NY, 13207",7,SW 3,2/5/2022 13:24:33
6035,43.06193245,-76.154107,"804 North Salina Street, Syracuse, NY, 13208",9,SW 5,2/5/2022 13:24:36
6036,43.01606321,-76.16005141,"312 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:24:39
6037,43.02572233,-76.17483009,"2103 South Geddes Street, Syracuse, NY, 13207",0,SW 2,2/5/2022 13:24:43
6038,43.06177751,-76.15395594,"202 Catawba Street, Syracuse, NY, 13208",3,SW 5,2/5/2022 13:24:45
6039,43.03196811,-76.15888205,"686 South Avenue, Syracuse, NY, 13207",2,SW 3,2/5/2022 13:24:45
6040,43.01601224,-76.1600189,"312 Valley Drive, Syracuse, NY, 13207",3,SW 1,2/5/2022 13:24:46
6041,43.02576575,-76.1748312,"2043 South Geddes Street, Syracuse, NY, 13207",4,SW 2,2/5/2022 13:24:49
6042,43.06165829,-76.15385385,"758 North Salina Street, Syracuse, NY, 13208",9,SW 5,2/5/2022 13:24:51
6043,43.0160611,-76.16005504,"312 Valley Drive, Syracuse, NY, 13207",1,SW 1,2/5/2022 13:24:52
6044,43.0614055,-76.15365198,"744 North Salina Street, Syracuse, NY, 13208",11,SW 5,2/5/2022 13:24:57
